timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1621024115.153 , BTCUSD , Buy , 9000 , 49578 ,,,,,
1621024115.153 , BTCUSD , Buy , 643 , 49593 ,,,,,
1621024115.159 , BTCUSD , Buy , 378 , 49579 ,,,,,
1621024121.154 , BTCUSD , Buy , 279 , 49538 ,,,,,
1621024121.161 , BTCUSD , Buy , 9949 , 49546 ,,,,,
1621024121.145 , BTCUSD , Buy , 1397 , 49547 ,,,,,
1621024121.146 , BTCUSD , Buy , 609 , 49539 ,,,,,
1621024121.154 , BTCUSD , Buy , 378 , 49550 ,,,,,
1621024115.168 , BTCUSD , Buy , 378 , 49587.5 ,,,,,
1621024118.17 , BTCUSD , Buy , 2048 , 49562 ,,,,,
1621024221.326 , BTCUSD , Buy , 32183 , 49527.5 ,,,,,
1621024221.321 , BTCUSD , Buy , 379 , 49528 ,,,,,
1621024223.33 , BTCUSD , Buy , 964 , 49526 ,,,,,
1621024227.348 , BTCUSD , Buy , 300 , 49517 ,,,,,
1621024227.324 , BTCUSD , Buy , 1065 , 49524 ,,,,,
1621024227.324 , BTCUSD , Buy , 9 , 49521.5 ,,,,,
1621024227.332 , BTCUSD , Buy , 166 , 49520.5 ,,,,,
1621024227.342 , BTCUSD , Buy , 2500 , 49528 ,,,,,
1621024227.344 , BTCUSD , Buy , 3000 , 49519.5 ,,,,,
1621024227.329 , BTCUSD , Buy , 527 , 49515 ,,,,,
1621024230.343 , BTCUSD , Buy , 1536 , 49512 ,,,,,
1621024230.408 , BTCUSD , Buy , 744 , 49511 ,,,,,
1621024230.344 , BTCUSD , Buy , 376 , 49513.5 ,,,,,
1621024232.364 , BTCUSD , Buy , 2637 , 49511.5 ,,,,,
1621024232.342 , BTCUSD , Buy , 2 , 49505 ,,,,,
1621024232.334 , BTCUSD , Buy , 26 , 49506 ,,,,,
1621024233.354 , BTCUSD , Buy , 5000 , 49508 ,,,,,
1621024234.36 , BTCUSD , Buy , 1075 , 49509 ,,,,,
1621024234.36 , BTCUSD , Buy , 10138 , 49485 ,,,,,
1621024234.352 , BTCUSD , Buy , 5000 , 49486.5 ,,,,,
1621024234.352 , BTCUSD , Buy , 2836 , 49506 ,,,,,
1621024234.357 , BTCUSD , Buy , 2048 , 49493 ,,,,,
1621024234.356 , BTCUSD , Buy , 100 , 49490.5 ,,,,,
1621024234.357 , BTCUSD , Buy , 1000 , 49495 ,,,,,
1621024234.349 , BTCUSD , Buy , 585 , 49498.5 ,,,,,
1621024235.349 , BTCUSD , Buy , 300 , 49478 ,,,,,
1621024234.36 , BTCUSD , Buy , 378 , 49487.5 ,,,,,
1621024234.363 , BTCUSD , Buy , 2793 , 49486 ,,,,,
1621024234.363 , BTCUSD , Buy , 13578 , 49496.5 ,,,,,
1621024234.338 , BTCUSD , Buy , 2086 , 49486.5 ,,,,,
1621024234.338 , BTCUSD , Buy , 6000 , 49484 ,,,,,
1621024235.345 , BTCUSD , Buy , 170 , 49479 ,,,,,
1621024234.36 , BTCUSD , Buy , 1900 , 49499 ,,,,,
1621024234.339 , BTCUSD , Buy , 300 , 49490.5 ,,,,,
1621024234.36 , BTCUSD , Buy , 77 , 49486 ,,,,,
1621024234.343 , BTCUSD , Buy , 29407 , 49494 ,,,,,
1621024236.355 , BTCUSD , Buy , 963 , 49459 ,,,,,
1621024234.347 , BTCUSD , Buy , 340480 , 49499 ,,,,,
1621024234.366 , BTCUSD , Buy , 12500 , 49481.5 ,,,,,
1621024235.349 , BTCUSD , Buy , 41137 , 49477 ,,,,,
1621024236.362 , BTCUSD , Buy , 240 , 49459.5 ,,,,,
1621024236.362 , BTCUSD , Buy , 5000 , 49459.5 ,,,,,
1621024235.35 , BTCUSD , Buy , 2096 , 49471 ,,,,,
1621024235.358 , BTCUSD , Buy , 963 , 49475.5 ,,,,,
1621024235.368 , BTCUSD , Buy , 10 , 49471 ,,,,,
1621024236.354 , BTCUSD , Buy , 88 , 49464.5 ,,,,,
1621024236.354 , BTCUSD , Buy , 9800 , 49462.5 ,,,,,
1621024236.345 , BTCUSD , Buy , 377 , 49466 ,,,,,
1621024238.355 , BTCUSD , Buy , 603 , 49459 ,,,,,
1621024236.35 , BTCUSD , Buy , 4903 , 49463.5 ,,,,,
1621024236.358 , BTCUSD , Buy , 167 , 49460 ,,,,,
1621024238.359 , BTCUSD , Buy , 4387 , 49462 ,,,,,
1621024238.35 , BTCUSD , Buy , 4000 , 49449 ,,,,,
1621024238.355 , BTCUSD , Buy , 963 , 49457.5 ,,,,,
1621024240.364 , BTCUSD , Buy , 19048 , 49451.5 ,,,,,
1621024241.362 , BTCUSD , Buy , 312 , 49435 ,,,,,
1621024241.369 , BTCUSD , Buy , 20 , 49440.5 ,,,,,
1621024240.372 , BTCUSD , Buy , 135 , 49447.5 ,,,,,
1621024240.352 , BTCUSD , Buy , 6536 , 49452 ,,,,,
1621024240.352 , BTCUSD , Buy , 20 , 49449 ,,,,,
1621024240.354 , BTCUSD , Buy , 500 , 49453 ,,,,,
1621024240.354 , BTCUSD , Buy , 500 , 49444.5 ,,,,,
1621024241.356 , BTCUSD , Buy , 200 , 49441 ,,,,,
